Time To Mat,Call Price,Spot Price,Realized Volatility,Implied Volatility
4.98638e-316,3.10765e-317,3.55138e-317,3.95253e-323,3.95253e-323
1.11026,3.10765e-317,3.55138e-317,3.95253e-323,3.95253e-323
1.11026,3.10765e-317,3.55138e-317,3.95253e-323,3.95253e-323
1.11026,297.653,1209.5,0,nan
1.11025,301.849,1210.5,0,nan
1.11025,301.859,1211.75,0,nan
1.11025,301.859,1210.5,0,nan
1.11025,301.859,1206.5,0,nan
1.11024,301.859,1210.95,0,nan
1.11024,301.879,1211,0,nan
1.11024,301.879,1209.5,0,nan
1.11023,301.894,1206.75,0,nan
1.11023,303.893,1209.22,0,nan
1.11023,303.908,1209,0,nan
1.11023,303.754,1205.75,0,nan
1.11023,303.759,1206.8,0,nan
1.11023,303.123,1206.85,0,nan
1.11022,303.118,1206.6,0,nan
1.11022,302.899,1207,0,nan
1.11022,303.271,1204.6,0,nan
1.11022,300.873,1206.75,0,nan
1.11021,302.456,1206.12,0,nan
1.11021,304.795,1205.9,0,nan
1.11021,304.084,1206.4,0,nan
1.11021,303.877,1207.75,0,nan
1.1102,303.862,1205.38,0,nan
1.1102,303.847,1207.75,0,nan
1.1102,304.546,1202.47,0,nan
1.1102,304.551,1197.47,0,nan
1.11019,303.125,1196.88,0,nan
1.11019,303.12,1205.15,0,nan
1.11019,303.73,1205.88,0,nan
1.11019,304.572,1207.3,0,nan
1.11019,303.725,1207.53,0,nan
1.11017,304.798,1209.97,0,nan
1.11017,303.764,1209.35,0,nan
1.11016,303.725,1208.9,0,nan
1.11016,304.043,1205.5,0,nan
1.11016,303.725,1206.4,0,nan
1.11012,281.837,1190.78,0,nan
1.11011,286.837,1187.62,0,nan
1.11008,281.837,1177.25,0,nan
1.11008,279.337,1176.5,0,nan
1.11004,287.55,1169.7,0,nan
1.11004,286.55,1166.75,0,nan
1.11004,262.55,1170.5,0,nan
1.11003,257.55,1156.05,0,nan
1.11003,273.25,1155.3,0,nan
1.11002,223.25,1155.55,0,nan
1.11002,207.55,1155.5,0,nan
1.10999,236.1,1163.67,0,nan
1.10998,227.841,1161.5,0,nan
1.10998,227.792,1163.75,0,nan
1.10997,237.792,1163.75,0,nan
1.10997,237.841,1162.67,0,nan
1.10997,237.792,1160.75,0,nan
1.10996,252.792,1158.5,0,nan
1.10988,227.792,1139.75,0,nan
1.10987,250.292,1143,0,nan
1.10986,227.792,1141.8,0,nan
1.10983,227.792,1137.5,0,nan
1.10983,232.792,1136.1,0,nan
1.10978,242.792,1128.92,0,nan
1.10977,243.292,1131.25,0,nan
1.10977,247.792,1129.15,0,nan
1.10976,243.292,1133.5,0,nan
1.10975,252.792,1133.53,0,nan
1.10973,227.792,1136.12,0,nan
1.10971,227.841,1122.75,0,nan
1.10969,222.05,1116.75,0,nan
1.10967,217.995,1113.5,0,nan
1.10966,217.995,1113.83,0,nan
1.10965,217.995,1118.45,0,nan
1.10965,217.995,1121.35,0,nan
1.10965,217.995,1120.53,0,nan
1.10965,218.945,1129,0,nan
1.10963,218.946,1144,0,nan
1.10204,218.946,1144,0,nan
1.10198,218.946,1144,0,nan
1.10193,218.946,1144,0,nan
1.10187,218.946,1144,0,nan
1.10181,218.946,1144,0,nan
1.10166,205,1102.83,0,nan
1.10162,204.5,1093.72,0,nan
1.10162,204.5,1093.22,0,nan
1.10162,204.5,1093.3,0,nan
1.10159,204.5,1097.55,0,nan
1.10159,204.5,1094.97,0,nan
1.10159,204.5,1096.25,0,nan
1.10158,204.5,1096.75,0,nan
1.10158,214.5,1096.03,0,nan
1.10156,214.5,1094.2,0,nan
1.10156,214.5,1095.5,0,nan
1.10156,216,1091.78,0,nan
1.10155,216,1093,0,nan
1.10154,216,1091.83,0,nan
1.10154,216,1091.5,0,nan
1.10153,214.5,1093.85,0,nan
1.10153,214.5,1094.5,0,nan
1.10149,215.5,1107.5,0,nan
1.10148,216,1092.55,0,nan
1.10148,226,1091.47,0,nan
1.10147,226.5,1095.28,0,nan
1.10147,226.5,1095.5,0,nan
1.10147,226.5,1095,0,nan
1.10146,226,1098.5,0,nan
1.10146,211.5,1098,0,nan
1.10141,212.5,1105,0,nan
1.09933,212.5,1105,0,nan
1.09931,220,1122.25,0,nan
1.09931,224.314,1122.45,0,nan
1.0993,224.315,1123.6,0,nan
1.09929,224.814,1136.5,0,nan
1.09929,234.314,1139,0,nan
1.09928,239.314,1144.55,nan,nan
1.09927,239.315,1146.75,nan,nan
1.09924,280,1154.5,nan,nan
1.09923,280.5,1152,0.386644,nan
1.09923,281,1153.5,0.386717,0.401062
1.09923,280.95,1161.5,0.389351,0.402465
1.09923,280.951,1163.5,0.389549,0.399328
1.09922,281,1170.45,0.391088,0.399186
1.09922,280.951,1169,0.390332,0.400033
1.09921,281,1158.4,0.394215,0.404619
1.09921,281.001,1163.25,0.395217,0.408526
